"name";"lat";"lng";"population";"iso3";"province"
"Kristiansand";58.16664207;8.000017862;58292;"NOR";"Vest-Agder"
"Hammerfest";70.66127993;23.68800085;9967;"NOR";"Finnmark"
"Tromsø";69.63507623;18.99202525;48900.5;"NOR";"Troms"
"Trondheim";63.41665753;10.41666622;144336;"NOR";"Sør-Trøndelag"
"Bergen";60.39100242;5.324522256;200389.5;"NOR";"Hordaland"
"Oslo";59.91669029;10.74997921;707500;"NOR";"Oslo"
"Alayat Samail";23.3031887;57.97820756;32862.5;"OMN";"Ad Dakhliyah"
"Dawwah";20.63301577;58.90802161;1485.5;"OMN";"Ash Sharqiyah"
"Mirbat";16.99243695;54.69179317;1120;"OMN";"Dhofar"
"Ibri";23.22538983;56.51695308;101640;"OMN";"Al Dhahira"
"Salalah";17.02545819;54.08521521;183508.5;"OMN";"Dhofar"
"Suhar";24.36197335;56.73441896;129811.5;"OMN";"Al Batnah"
"As Sib";23.68024579;58.18253617;237816;"OMN";"Muscat"
"Nizwa";22.92638999;57.53141313;70429.5;"OMN";"Ad Dakhliyah"
"Sur";22.57581708;59.53480505;68738;"OMN";"Ash Sharqiyah"
"Muscat";23.61332481;58.59331213;660779;"OMN";"Muscat"
"Parachinar";33.89918276;70.10082678;55685;"PAK";"F.A.T.A."
"Sialkote";32.5200163;74.5600378;477396;"PAK";"Punjab"
"Sheikhu Pura";31.71998761;73.98999508;361303;"PAK";"Punjab"
"Gujrat";32.5799868;74.08001542;301506;"PAK";"Punjab"
"Sahiwal";30.67173118;73.11180579;235695;"PAK";"Punjab"
"Chiniot";31.71998761;72.97997921;201781;"PAK";"Punjab"
"Rahim Yar Khan";28.4202407;70.29518184;353203;"PAK";"Punjab"
"Mansehra";34.3417914;73.19681352;66486;"PAK";"Khyber-Pakhtunkhwa"
"Kohat";33.60268923;71.43268347;247227;"PAK";"N.W.F.P."
"Abbottabad";34.1495034;73.19950069;1032323.5;"PAK";"N.W.F.P."
"Mardan";34.20004295;72.0399849;300424;"PAK";"N.W.F.P."
"Gwadar";25.13896812;62.32858801;37632.5;"PAK";"Baluchistan"
"Zhob";31.34897666;69.4385933;69446.5;"PAK";"Baluchistan"
"Gilgit";35.91709576;74.30000199;124196.5;"PAK";"Northern Areas"
"Kasur";31.12537274;74.45503129;290643;"PAK";"Punjab"
"Kundian";32.45219098;71.47180253;35406;"PAK";"Punjab"
"Okara";30.81040489;73.45002803;223648;"PAK";"Punjab"
"Jhang";31.2803762;72.32498043;341210;"PAK";"Punjab"
"Sargodha";32.08536582;72.6749849;542603;"PAK";"Punjab"
"Dera Ghazi Khan";30.06039899;70.63505774;236093;"PAK";"Punjab"
"Sadiqabad";28.3006356;70.13023067;189876;"PAK";"Punjab"
"Nawabshah";26.24543805;68.40000037;229504;"PAK";"Sind"
"Bannu";32.98897992;70.59857418;586209.5;"PAK";"N.W.F.P."
"Dera Ismail Khan";31.82899904;70.89855587;66676.5;"PAK";"Khyber-Pakhtunkhwa"
"Chaman";30.92504905;66.44632117;88568;"PAK";"Baluchistan"
"Turbat";25.99178428;63.07179846;111742.5;"PAK";"Baluchistan"
